document, nouns (NN), verbs (VV), adjectives (JJ), anestesiology's(NN), anestesiology's(VV), anestesiology's(JJ), cardiology's(NN), cardiology's(VV), cardiology's(JJ), dermatology's(NN), dermatology's(VV), dermatology's(JJ), neurology's(NN), neurology's(VV), neurology's(JJ), nutrition's(NN), nutrition's(VV), nutrition's(JJ)
1,1254,264,812,156,66,103,0,0,0,0,0,0,0,0,0,0,0,0
2,286,112,118,15,8,8,0,0,0,0,0,0,0,0,0,0,0,0
3,1016,273,417,100,31,39,0,0,0,0,0,0,0,0,0,0,0,0
4,546,173,189,70,23,36,0,0,0,0,0,0,0,0,0,0,0,0
5,320,115,167,105,13,56,0,0,0,0,0,0,0,0,0,0,0,0
6,820,174,551,0,0,0,74,16,84,0,0,0,0,0,0,0,0,0
7,2817,519,1479,0,0,0,366,97,182,0,0,0,0,0,0,0,0,0
8,786,206,728,0,0,0,201,30,79,0,0,0,0,0,0,0,0,0
9,4166,807,1850,0,0,0,1016,117,184,0,0,0,0,0,0,0,0,0
10,1751,371,1011,0,0,0,672,98,203,0,0,0,0,0,0,0,0,0
11,567,177,470,0,0,0,0,0,0,50,19,40,0,0,0,0,0,0
12,19,5,10,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0
13,19,4,5,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0
14,870,178,387,0,0,0,0,0,0,144,13,18,0,0,0,0,0,0
15,430,89,278,0,0,0,0,0,0,49,15,14,0,0,0,0,0,0
16,3871,857,2681,0,0,0,0,0,0,0,0,0,556,275,283,0,0,0
17,1167,390,614,0,0,0,0,0,0,0,0,0,368,85,334,0,0,0
18,2041,819,943,0,0,0,0,0,0,0,0,0,360,134,128,0,0,0
19,9954,2278,8336,0,0,0,0,0,0,0,0,0,5014,1042,1536,0,0,0
20,971,267,659,0,0,0,0,0,0,0,0,0,0,0,0,135,23,88
21,647,117,380,0,0,0,0,0,0,0,0,0,0,0,0,76,17,26
22,67,21,35,0,0,0,0,0,0,0,0,0,0,0,0,27,9,7
23,289,87,108,0,0,0,0,0,0,0,0,0,0,0,0,23,4,7
24,794,296,425,0,0,0,0,0,0,0,0,0,0,0,0,178,32,28
25,1057,246,662,0,0,0,0,0,0,0,0,0,0,0,0,137,17,56
26,1552,342,686,0,0,0,0,0,0,0,0,0,0,0,0,163,39,91
27,333,101,160,0,0,0,0,0,0,0,0,0,0,0,0,35,7,7
